Location,Building Short Name,Floor #,Std_or_AWP,Capacity,Fiscal Year
Bangalore,BAN-4A,8th Floor,AWP,12,FY2025
Bangalore,BAN-4A,8th Floor,AWP,12,FY2026
Bangalore,BAN-4A,8th Floor,AWP,12,FY2027
Bangalore,BAN-4A,8th Floor,AWP,12,FY2028
Bangalore,BAN-4A,8th Floor,AWP,12,FY2029
Bangalore,BAN-4A,8th Floor,AWP,12,FY2030
Bangalore,BAN-4A,4th Floor,STD,225,FY2025
Bangalore,BAN-4A,4th Floor,STD,225,FY2026
Bangalore,BAN-4A,4th Floor,STD,225,FY2027
Bangalore,BAN-4A,4th Floor,STD,225,FY2028
Bangalore,BAN-4A,4th Floor,STD,225,FY2029
Bangalore,BAN-4A,4th Floor,STD,225,FY2030
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2025
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2026
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2027
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2028
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2029
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2030
Tel Aviv,TLV-02,5th Floor,STD,101,FY2025
Tel Aviv,TLV-02,5th Floor,STD,101,FY2026
Tel Aviv,TLV-02,5th Floor,STD,101,FY2027
Tel Aviv,TLV-02,5th Floor,STD,101,FY2028
Tel Aviv,TLV-02,5th Floor,STD,101,FY2029
Tel Aviv,TLV-02,5th Floor,STD,101,FY2030
Bangalore,BAN-08,5th Floor,AWP,18,FY2025
Bangalore,BAN-08,5th Floor,AWP,18,FY2026
Bangalore,BAN-08,5th Floor,AWP,18,FY2027
Bangalore,BAN-08,5th Floor,AWP,18,FY2028
Bangalore,BAN-08,5th Floor,AWP,18,FY2029
Bangalore,BAN-08,5th Floor,AWP,18,FY2030
Los Angeles,LOS-01,22nd Floor,STD,140,FY2025
Los Angeles,LOS-01,22nd Floor,STD,140,FY2026
Los Angeles,LOS-01,22nd Floor,STD,140,FY2027
Los Angeles,LOS-01,22nd Floor,STD,140,FY2028
Los Angeles,LOS-01,22nd Floor,STD,140,FY2029
Los Angeles,LOS-01,22nd Floor,STD,140,FY2030
Plano,PLN-B,2nd Floor,STD,150,FY2025
Plano,PLN-B,2nd Floor,STD,150,FY2026
Plano,PLN-B,2nd Floor,STD,150,FY2027
Plano,PLN-B,2nd Floor,STD,150,FY2028
Plano,PLN-B,2nd Floor,STD,150,FY2029
Plano,PLN-B,2nd Floor,STD,150,FY2030
Bangalore,BAN-08,3rd Floor,AWP,15,FY2025
Bangalore,BAN-08,3rd Floor,AWP,15,FY2026
Bangalore,BAN-08,3rd Floor,AWP,15,FY2027
Bangalore,BAN-08,3rd Floor,AWP,15,FY2028
Bangalore,BAN-08,3rd Floor,AWP,15,FY2029
Bangalore,BAN-08,3rd Floor,AWP,15,FY2030
Mountain View,MTV-04,1st Floor,STD,113,FY2025
Mountain View,MTV-04,1st Floor,STD,113,FY2026
Mountain View,MTV-04,1st Floor,STD,113,FY2027
Mountain View,MTV-04,1st Floor,STD,113,FY2028
Mountain View,MTV-04,1st Floor,STD,113,FY2029
Mountain View,MTV-04,1st Floor,STD,113,FY2030
Tel Aviv,TLV-02,8th Floor,AWP,8,FY2025
Tel Aviv,TLV-02,8th Floor,AWP,8,FY2026
Tel Aviv,TLV-02,8th Floor,AWP,8,FY2027
Tel Aviv,TLV-02,8th Floor,AWP,8,FY2028
Tel Aviv,TLV-02,8th Floor,AWP,8,FY2029
Tel Aviv,TLV-02,8th Floor,AWP,8,FY2030
Tel Aviv,TLV-02,9th Floor,AWP,8,FY2025
Tel Aviv,TLV-02,9th Floor,AWP,8,FY2026
Tel Aviv,TLV-02,9th Floor,AWP,8,FY2027
Tel Aviv,TLV-02,9th Floor,AWP,8,FY2028
Tel Aviv,TLV-02,9th Floor,AWP,8,FY2029
Tel Aviv,TLV-02,9th Floor,AWP,8,FY2030
Paris,PAR-03,5th Floor,STD,1,FY2025
Paris,PAR-03,5th Floor,STD,1,FY2026
Paris,PAR-03,5th Floor,STD,1,FY2027
Paris,PAR-03,5th Floor,STD,1,FY2028
Paris,PAR-03,5th Floor,STD,1,FY2029
Paris,PAR-03,5th Floor,STD,1,FY2030
Mountain View,MTV-14,1st Floor,STD,83,FY2025
Mountain View,MTV-14,1st Floor,STD,83,FY2026
Mountain View,MTV-14,1st Floor,STD,83,FY2027
Mountain View,MTV-14,1st Floor,STD,83,FY2028
Mountain View,MTV-14,1st Floor,STD,83,FY2029
Mountain View,MTV-14,1st Floor,STD,83,FY2030
Mountain View,MTV-04,2nd Floor,STD,119,FY2025
Mountain View,MTV-04,2nd Floor,STD,119,FY2026
Mountain View,MTV-04,2nd Floor,STD,119,FY2027
Mountain View,MTV-04,2nd Floor,STD,119,FY2028
Mountain View,MTV-04,2nd Floor,STD,119,FY2029
Mountain View,MTV-04,2nd Floor,STD,119,FY2030
Bangalore,BAN-4A,6th Floor,AWP,10,FY2025
Bangalore,BAN-4A,6th Floor,AWP,10,FY2026
Bangalore,BAN-4A,6th Floor,AWP,10,FY2027
Bangalore,BAN-4A,6th Floor,AWP,10,FY2028
Bangalore,BAN-4A,6th Floor,AWP,10,FY2029
Bangalore,BAN-4A,6th Floor,AWP,10,FY2030
San Diego,SDG-2A,3rd Floor,STD,219,FY2025
San Diego,SDG-2A,3rd Floor,STD,219,FY2026
San Diego,SDG-2A,3rd Floor,STD,219,FY2027
San Diego,SDG-2A,3rd Floor,STD,219,FY2028
San Diego,SDG-2A,3rd Floor,STD,219,FY2029
San Diego,SDG-2A,3rd Floor,STD,219,FY2030
Bangalore,BAN-4A,7th Floor,STD,105,FY2025
Bangalore,BAN-4A,7th Floor,STD,105,FY2026
Bangalore,BAN-4A,7th Floor,STD,105,FY2027
Bangalore,BAN-4A,7th Floor,STD,105,FY2028
Bangalore,BAN-4A,7th Floor,STD,105,FY2029
Bangalore,BAN-4A,7th Floor,STD,105,FY2030
Toronto,TOR-01,16th Floor,AWP,56,FY2025
Toronto,TOR-01,16th Floor,AWP,56,FY2026
Toronto,TOR-01,16th Floor,AWP,56,FY2027
Toronto,TOR-01,16th Floor,AWP,56,FY2028
Toronto,TOR-01,16th Floor,AWP,56,FY2029
Toronto,TOR-01,16th Floor,AWP,56,FY2030
Bangalore,BAN-4A,4th Floor,AWP,20,FY2025
Bangalore,BAN-4A,4th Floor,AWP,20,FY2026
Bangalore,BAN-4A,4th Floor,AWP,20,FY2027
Bangalore,BAN-4A,4th Floor,AWP,20,FY2028
Bangalore,BAN-4A,4th Floor,AWP,20,FY2029
Bangalore,BAN-4A,4th Floor,AWP,20,FY2030
Mountain View,MTV-22,2nd Floor,AWP,97,FY2025
Mountain View,MTV-22,2nd Floor,AWP,97,FY2026
Mountain View,MTV-22,2nd Floor,AWP,97,FY2027
Mountain View,MTV-22,2nd Floor,AWP,97,FY2028
Mountain View,MTV-22,2nd Floor,AWP,97,FY2029
Mountain View,MTV-22,2nd Floor,AWP,97,FY2030
London,LON-04,5th Floor,AWP,22,FY2025
London,LON-04,5th Floor,AWP,22,FY2026
London,LON-04,5th Floor,AWP,22,FY2027
London,LON-04,5th Floor,AWP,22,FY2028
London,LON-04,5th Floor,AWP,22,FY2029
London,LON-04,5th Floor,AWP,22,FY2030
Atlanta,ATL-03,7th Floor,AWP,100,FY2025
Atlanta,ATL-03,7th Floor,AWP,100,FY2026
Atlanta,ATL-03,7th Floor,AWP,100,FY2027
Atlanta,ATL-03,7th Floor,AWP,100,FY2028
Atlanta,ATL-03,7th Floor,AWP,100,FY2029
Atlanta,ATL-03,7th Floor,AWP,100,FY2030
San Diego,SDG-3A,3rd Floor,AWP,21,FY2025
San Diego,SDG-3A,3rd Floor,AWP,21,FY2026
San Diego,SDG-3A,3rd Floor,AWP,21,FY2027
San Diego,SDG-3A,3rd Floor,AWP,21,FY2028
San Diego,SDG-3A,3rd Floor,AWP,21,FY2029
San Diego,SDG-3A,3rd Floor,AWP,21,FY2030
Plano,PLN-A,2nd Floor,STD,288,FY2025
Plano,PLN-A,2nd Floor,STD,288,FY2026
Plano,PLN-A,2nd Floor,STD,288,FY2027
Plano,PLN-A,2nd Floor,STD,288,FY2028
Plano,PLN-A,2nd Floor,STD,288,FY2029
Plano,PLN-A,2nd Floor,STD,288,FY2030
Mountain View,MTV-05,1st Floor,STD,112,FY2025
Mountain View,MTV-05,1st Floor,STD,112,FY2026
Mountain View,MTV-05,1st Floor,STD,112,FY2027
Mountain View,MTV-05,1st Floor,STD,112,FY2028
Mountain View,MTV-05,1st Floor,STD,112,FY2029
Mountain View,MTV-05,1st Floor,STD,112,FY2030
Mountain View,MTV-11,2nd Floor,AWP,4,FY2025
Mountain View,MTV-11,2nd Floor,AWP,4,FY2026
Mountain View,MTV-11,2nd Floor,AWP,4,FY2027
Mountain View,MTV-11,2nd Floor,AWP,4,FY2028
Mountain View,MTV-11,2nd Floor,AWP,4,FY2029
Mountain View,MTV-11,2nd Floor,AWP,4,FY2030
San Diego,SDG-1A,4th Floor,STD,130,FY2025
San Diego,SDG-1A,4th Floor,STD,130,FY2026
San Diego,SDG-1A,4th Floor,STD,130,FY2027
San Diego,SDG-1A,4th Floor,STD,130,FY2028
San Diego,SDG-1A,4th Floor,STD,130,FY2029
San Diego,SDG-1A,4th Floor,STD,130,FY2030
San Diego,SDG-3A,2nd Floor,STD,211,FY2025
San Diego,SDG-3A,2nd Floor,STD,211,FY2026
San Diego,SDG-3A,2nd Floor,STD,211,FY2027
San Diego,SDG-3A,2nd Floor,STD,211,FY2028
San Diego,SDG-3A,2nd Floor,STD,211,FY2029
San Diego,SDG-3A,2nd Floor,STD,211,FY2030
Tel Aviv,TLV-02,9th Floor,STD,101,FY2025
Tel Aviv,TLV-02,9th Floor,STD,101,FY2026
Tel Aviv,TLV-02,9th Floor,STD,101,FY2027
Tel Aviv,TLV-02,9th Floor,STD,101,FY2028
Tel Aviv,TLV-02,9th Floor,STD,101,FY2029
Tel Aviv,TLV-02,9th Floor,STD,101,FY2030
Atlanta,ATL-03,T1 - 11th Floor Proj,AWP,6,FY2025
Atlanta,ATL-03,T1 - 11th Floor Proj,AWP,6,FY2026
Atlanta,ATL-03,T1 - 11th Floor Proj,AWP,6,FY2027
Atlanta,ATL-03,T1 - 11th Floor Proj,AWP,6,FY2028
Atlanta,ATL-03,T1 - 11th Floor Proj,AWP,6,FY2029
Atlanta,ATL-03,T1 - 11th Floor Proj,AWP,6,FY2030
Toronto,TOR-01,18th Floor,AWP,48,FY2025
Toronto,TOR-01,18th Floor,AWP,48,FY2026
Toronto,TOR-01,18th Floor,AWP,48,FY2027
Toronto,TOR-01,18th Floor,AWP,48,FY2028
Toronto,TOR-01,18th Floor,AWP,48,FY2029
Toronto,TOR-01,18th Floor,AWP,48,FY2030
Plano,PLN-A,2nd Floor,AWP,12,FY2025
Plano,PLN-A,2nd Floor,AWP,12,FY2026
Plano,PLN-A,2nd Floor,AWP,12,FY2027
Plano,PLN-A,2nd Floor,AWP,12,FY2028
Plano,PLN-A,2nd Floor,AWP,12,FY2029
Plano,PLN-A,2nd Floor,AWP,12,FY2030
Plano,PLN-B,1st Floor,AWP,16,FY2025
Plano,PLN-B,1st Floor,AWP,16,FY2026
Plano,PLN-B,1st Floor,AWP,16,FY2027
Plano,PLN-B,1st Floor,AWP,16,FY2028
Plano,PLN-B,1st Floor,AWP,16,FY2029
Plano,PLN-B,1st Floor,AWP,16,FY2030
San Francisco,SFO-04,5th Floor Project,STD,168,FY2025
San Francisco,SFO-04,5th Floor Project,STD,168,FY2026
San Francisco,SFO-04,5th Floor Project,STD,168,FY2027
San Francisco,SFO-04,5th Floor Project,STD,168,FY2028
San Francisco,SFO-04,5th Floor Project,STD,168,FY2029
San Francisco,SFO-04,5th Floor Project,STD,168,FY2030
Plano,PLN-B,1st Floor,STD,114,FY2025
Plano,PLN-B,1st Floor,STD,114,FY2026
Plano,PLN-B,1st Floor,STD,114,FY2027
Plano,PLN-B,1st Floor,STD,114,FY2028
Plano,PLN-B,1st Floor,STD,114,FY2029
Plano,PLN-B,1st Floor,STD,114,FY2030
Mountain View,MTV-14,2nd Floor,AWP,9,FY2025
Mountain View,MTV-14,2nd Floor,AWP,9,FY2026
Mountain View,MTV-14,2nd Floor,AWP,9,FY2027
Mountain View,MTV-14,2nd Floor,AWP,9,FY2028
Mountain View,MTV-14,2nd Floor,AWP,9,FY2029
Mountain View,MTV-14,2nd Floor,AWP,9,FY2030
San Diego,SDG-4A,2nd Floor,AWP,17,FY2025
San Diego,SDG-4A,2nd Floor,AWP,17,FY2026
San Diego,SDG-4A,2nd Floor,AWP,17,FY2027
San Diego,SDG-4A,2nd Floor,AWP,17,FY2028
San Diego,SDG-4A,2nd Floor,AWP,17,FY2029
San Diego,SDG-4A,2nd Floor,AWP,17,FY2030
Mountain View,MTV-05,2nd Floor,STD,145,FY2025
Mountain View,MTV-05,2nd Floor,STD,145,FY2026
Mountain View,MTV-05,2nd Floor,STD,145,FY2027
Mountain View,MTV-05,2nd Floor,STD,145,FY2028
Mountain View,MTV-05,2nd Floor,STD,145,FY2029
Mountain View,MTV-05,2nd Floor,STD,145,FY2030
Dublin,DUB-01,4th Floor,AWP,1,FY2025
Dublin,DUB-01,4th Floor,AWP,1,FY2026
Dublin,DUB-01,4th Floor,AWP,1,FY2027
Dublin,DUB-01,4th Floor,AWP,1,FY2028
Dublin,DUB-01,4th Floor,AWP,1,FY2029
Dublin,DUB-01,4th Floor,AWP,1,FY2030
Tel Aviv,TLV-02,7th Floor,AWP,8,FY2025
Tel Aviv,TLV-02,7th Floor,AWP,8,FY2026
Tel Aviv,TLV-02,7th Floor,AWP,8,FY2027
Tel Aviv,TLV-02,7th Floor,AWP,8,FY2028
Tel Aviv,TLV-02,7th Floor,AWP,8,FY2029
Tel Aviv,TLV-02,7th Floor,AWP,8,FY2030
San Diego,SDG-4A,1st Floor,AWP,6,FY2025
San Diego,SDG-4A,1st Floor,AWP,6,FY2026
San Diego,SDG-4A,1st Floor,AWP,6,FY2027
San Diego,SDG-4A,1st Floor,AWP,6,FY2028
San Diego,SDG-4A,1st Floor,AWP,6,FY2029
San Diego,SDG-4A,1st Floor,AWP,6,FY2030
San Diego,SDG-1A,2nd Floor,STD,156,FY2025
San Diego,SDG-1A,2nd Floor,STD,156,FY2026
San Diego,SDG-1A,2nd Floor,STD,156,FY2027
San Diego,SDG-1A,2nd Floor,STD,156,FY2028
San Diego,SDG-1A,2nd Floor,STD,156,FY2029
San Diego,SDG-1A,2nd Floor,STD,156,FY2030
San Diego,SDG-2A,3rd Floor,AWP,18,FY2025
San Diego,SDG-2A,3rd Floor,AWP,18,FY2026
San Diego,SDG-2A,3rd Floor,AWP,18,FY2027
San Diego,SDG-2A,3rd Floor,AWP,18,FY2028
San Diego,SDG-2A,3rd Floor,AWP,18,FY2029
San Diego,SDG-2A,3rd Floor,AWP,18,FY2030
New York,NYC-04,3rd Floor,STD,235,FY2025
New York,NYC-04,3rd Floor,STD,235,FY2026
New York,NYC-04,3rd Floor,STD,235,FY2027
New York,NYC-04,3rd Floor,STD,235,FY2028
New York,NYC-04,3rd Floor,STD,235,FY2029
New York,NYC-04,3rd Floor,STD,235,FY2030
Sydney,SDY-05,35th Floor,AWP,2,FY2025
Sydney,SDY-05,35th Floor,AWP,2,FY2026
Sydney,SDY-05,35th Floor,AWP,2,FY2027
Sydney,SDY-05,35th Floor,AWP,2,FY2028
Sydney,SDY-05,35th Floor,AWP,2,FY2029
Sydney,SDY-05,35th Floor,AWP,2,FY2030
Mountain View,MTV-09,2nd Floor,STD,102,FY2025
Mountain View,MTV-09,2nd Floor,STD,102,FY2026
Mountain View,MTV-09,2nd Floor,STD,102,FY2027
Mountain View,MTV-09,2nd Floor,STD,102,FY2028
Mountain View,MTV-09,2nd Floor,STD,102,FY2029
Mountain View,MTV-09,2nd Floor,STD,102,FY2030
Mountain View,MTV-05,2nd Floor,AWP,29,FY2025
Mountain View,MTV-05,2nd Floor,AWP,29,FY2026
Mountain View,MTV-05,2nd Floor,AWP,29,FY2027
Mountain View,MTV-05,2nd Floor,AWP,29,FY2028
Mountain View,MTV-05,2nd Floor,AWP,29,FY2029
Mountain View,MTV-05,2nd Floor,AWP,29,FY2030
Mountain View,MTV-07,2nd Floor,STD,121,FY2025
Mountain View,MTV-07,2nd Floor,STD,121,FY2026
Mountain View,MTV-07,2nd Floor,STD,121,FY2027
Mountain View,MTV-07,2nd Floor,STD,121,FY2028
Mountain View,MTV-07,2nd Floor,STD,121,FY2029
Mountain View,MTV-07,2nd Floor,STD,121,FY2030
Mountain View,MTV-20,3rd Floor,AWP,72,FY2025
Mountain View,MTV-20,3rd Floor,AWP,72,FY2026
Mountain View,MTV-20,3rd Floor,AWP,72,FY2027
Mountain View,MTV-20,3rd Floor,AWP,72,FY2028
Mountain View,MTV-20,3rd Floor,AWP,72,FY2029
Mountain View,MTV-20,3rd Floor,AWP,72,FY2030
Mountain View,MTV-09,1st Floor,AWP,8,FY2025
Mountain View,MTV-09,1st Floor,AWP,8,FY2026
Mountain View,MTV-09,1st Floor,AWP,8,FY2027
Mountain View,MTV-09,1st Floor,AWP,8,FY2028
Mountain View,MTV-09,1st Floor,AWP,8,FY2029
Mountain View,MTV-09,1st Floor,AWP,8,FY2030
Washington DC,WDC-02,8th Floor,STD,24,FY2025
Washington DC,WDC-02,8th Floor,STD,24,FY2026
Washington DC,WDC-02,8th Floor,STD,24,FY2027
Washington DC,WDC-02,8th Floor,STD,24,FY2028
Washington DC,WDC-02,8th Floor,STD,24,FY2029
Washington DC,WDC-02,8th Floor,STD,24,FY2030
Reno,RNO-1S,1st Floor,AWP,6,FY2025
Reno,RNO-1S,1st Floor,AWP,6,FY2026
Reno,RNO-1S,1st Floor,AWP,6,FY2027
Reno,RNO-1S,1st Floor,AWP,6,FY2028
Reno,RNO-1S,1st Floor,AWP,6,FY2029
Reno,RNO-1S,1st Floor,AWP,6,FY2030
Atlanta,ATL-03,T1 - 10th Floor Proj,AWP,6,FY2025
Atlanta,ATL-03,T1 - 10th Floor Proj,AWP,6,FY2026
Atlanta,ATL-03,T1 - 10th Floor Proj,AWP,6,FY2027
Atlanta,ATL-03,T1 - 10th Floor Proj,AWP,6,FY2028
Atlanta,ATL-03,T1 - 10th Floor Proj,AWP,6,FY2029
Atlanta,ATL-03,T1 - 10th Floor Proj,AWP,6,FY2030
Tel Aviv,TLV-02,6th Floor,AWP,8,FY2025
Tel Aviv,TLV-02,6th Floor,AWP,8,FY2026
Tel Aviv,TLV-02,6th Floor,AWP,8,FY2027
Tel Aviv,TLV-02,6th Floor,AWP,8,FY2028
Tel Aviv,TLV-02,6th Floor,AWP,8,FY2029
Tel Aviv,TLV-02,6th Floor,AWP,8,FY2030
Atlanta,ATL-03,8th Floor,STD,133,FY2025
Atlanta,ATL-03,8th Floor,STD,133,FY2026
Atlanta,ATL-03,8th Floor,STD,133,FY2027
Atlanta,ATL-03,8th Floor,STD,133,FY2028
Atlanta,ATL-03,8th Floor,STD,133,FY2029
Atlanta,ATL-03,8th Floor,STD,133,FY2030
Toronto,TOR-01,17th Floor,AWP,44,FY2025
Toronto,TOR-01,17th Floor,AWP,44,FY2026
Toronto,TOR-01,17th Floor,AWP,44,FY2027
Toronto,TOR-01,17th Floor,AWP,44,FY2028
Toronto,TOR-01,17th Floor,AWP,44,FY2029
Toronto,TOR-01,17th Floor,AWP,44,FY2030
Mountain View,MTV-20,3rd Floor,STD,415,FY2025
Mountain View,MTV-20,3rd Floor,STD,415,FY2026
Mountain View,MTV-20,3rd Floor,STD,415,FY2027
Mountain View,MTV-20,3rd Floor,STD,415,FY2028
Mountain View,MTV-20,3rd Floor,STD,415,FY2029
Mountain View,MTV-20,3rd Floor,STD,415,FY2030
San Diego,SDG-4A,4th Floor,AWP,30,FY2025
San Diego,SDG-4A,4th Floor,AWP,30,FY2026
San Diego,SDG-4A,4th Floor,AWP,30,FY2027
San Diego,SDG-4A,4th Floor,AWP,30,FY2028
San Diego,SDG-4A,4th Floor,AWP,30,FY2029
San Diego,SDG-4A,4th Floor,AWP,30,FY2030
Bangalore,BAN-08,6th Floor,AWP,20,FY2025
Bangalore,BAN-08,6th Floor,AWP,20,FY2026
Bangalore,BAN-08,6th Floor,AWP,20,FY2027
Bangalore,BAN-08,6th Floor,AWP,20,FY2028
